nodeid,,nodetype,age,gender,marrige,withkids,student,workstatue,residentinneighbor,educationlevel,eventtopic,spacefunction,date
1014,,Media Content,,,,,,,,,Community And Organization,,12/5/23
1015,,Media Content,,,,,,,,,Culture And Arts,,7/24/21
1016,,Media Content,,,,,,,,,Culture And Arts,,9/13/21
1017,,Media Content,,,,,,,,,Culture And Arts,,11/6/21
1018,,Media Content,,,,,,,,,Culture And Arts,,11/18/21
1019,,Media Content,,,,,,,,,Lifestyle And Health,,12/23/21
1020,,Media Content,,,,,,,,,Community And Organization,,9/4/21
1021,,Media Content,,,,,,,,,Community And Organization,,10/2/21
1022,,Media Content,,,,,,,,,Community And Organization,,11/6/21
1023,,Media Content,,,,,,,,,Community And Organization,,12/4/21
1024,,Media Content,,,,,,,,,Community And Organization,,2/5/22
1025,,Media Content,,,,,,,,,Community And Organization,,10/16/21
1026,,Media Content,,,,,,,,,Community And Organization,,3/6/22
1027,,Media Content,,,,,,,,,Environment And Sustainability,,10/23/21
1028,,Media Content,,,,,,,,,Culture And Arts,,7/6/21
1029,,Media Content,,,,,,,,,Culture And Arts,,1/4/21
1030,,Media Content,,,,,,,,,Culture And Arts,,1/4/21
1031,,Media Content,,,,,,,,,Culture And Arts,,3/1/21
1032,,Media Content,,,,,,,,,Environment And Sustainability,,8/15/21
616,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,5/1/21
1130,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,5/20/23
193,,Actors,18-35,Male,No,No,No,Self-employed,Yes,Graduate,,,6/1/20
943,,Actors,35-55,Male,Yes,No,No,Employed,No,Undergraduate,,,8/30/21
641,,Actors,35-55,Female,No,No,No,Self-employed,No,Graduate,,,3/6/22
662,,Actors,18-35,Male,No,No,No,Self-employed,Yes,Undergraduate,,,3/2/21
98,,Organization,,,,,,,,,Community And Organization,,9/29/22
99,,Organization,,,,,,,,,Technology And Education,,10/6/23
100,,Organization,,,,,,,,,Technology And Education,,11/1/20
315,,Actors,35-55,Male,No,No,Yes,Freelancer,No,Graduate,,,5/1/20
830,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,7/12/20
363,,Actors,35-55,Male,No,No,No,Self-employed,No,Graduate,,,9/25/23
514,,Actors,18-35,Male,No,No,No,Self-employed,No,Graduate,,,9/2/21
478,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,7/30/21
829,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,7/10/20
934,,Actors,35-55,Male,No,No,No,Freelancer,No,Graduate,,,10/20/23
108,,Organization,,,,,,,,,Culture And Arts,,9/11/21
109,,Organization,,,,,,,,,Community And Organization,,10/1/22
110,,Organization,,,,,,,,,Technology And Education,,4/10/22
111,,Organization,,,,,,,,,Community And Organization,,9/14/23
1033,,Media Content,,,,,,,,,Community And Organization,,12/3/23
1034,,Short-term Project,,,,,,,,,Community And Organization,,12/3/23
1035,,Media Content,,,,,,,,,Community And Organization,,7/20/23
1036,,Media Content,,,,,,,,,Community And Organization,,11/24/22
1037,,Media Content,,,,,,,,,Community And Organization,,5/30/23
704,,Actors,35-55,Male,No,No,No,Freelancer,Yes,Graduate,,,10/7/20
113,,Organization,,,,,,,,,Technology And Education,,8/27/22
1038,,Event,,,,,,,,,Technology And Education,,4/1/23
114,,Organization,,,,,,,,,Culture And Arts,,9/1/21
750,,Actors,55,Female,No,No,No,Employed,No,Graduate,,,5/17/21
116,,Organization,,,,,,,,,Lifestyle And Health,,11/1/21
1039,,Short-term Project,,,,,,,,,Technology And Education,,10/18/20
1040,,Short-term Project,,,,,,,,,Technology And Education,,3/10/21
1041,,Short-term Project,,,,,,,,,Technology And Education,,7/5/21
1042,,Short-term Project,,,,,,,,,Culture And Arts,,9/3/21
1043,,Short-term Project,,,,,,,,,Culture And Arts,,7/1/21
1044,,Short-term Project,,,,,,,,,Community And Organization,,7/30/21
1045,,Short-term Project,,,,,,,,,Community And Organization,,3/1/22
1046,,Short-term Project,,,,,,,,,Environment And Sustainability,,8/1/21
1047,,Short-term Project,,,,,,,,,Community And Organization,,7/1/21
1048,,Short-term Project,,,,,,,,,Technology And Education,,2/17/22
1049,,Short-term Project,,,,,,,,,Environment And Sustainability,,8/10/21
1050,,Short-term Project,,,,,,,,,Technology And Education,,12/8/21
1051,,Short-term Project,,,,,,,,,Technology And Education,,7/5/22
1052,,Short-term Project,,,,,,,,,Technology And Education,,7/5/22
117,,Organization,,,,,,,,,Technology And Education,,11/2/22
118,,Organization,,,,,,,,,Lifestyle And Health,,5/1/20
119,,Organization,,,,,,,,,Culture And Arts,,2/4/23
120,,Organization,,,,,,,,,Community And Organization,,7/2/23
656,,Actors,18-35,Female,No,No,No,Freelancer,No,Undergraduate,,,7/1/20
122,,Organization,,,,,,,,,Culture And Arts,,7/1/21
123,,Organization,,,,,,,,,Community And Organization,,2/13/23
887,,Actors,18-35,Female,No,No,No,Freelancer,No,Graduate,,,5/7/22
125,,Organization,,,,,,,,,Community And Organization,,8/19/22
240,,Actors,35-55,Female,Yes,Yes,No,Employed,No,Graduate,,,11/1/20
1053,,Event,,,,,,,,,Culture And Arts,,4/24/23
1054,,Media Content,,,,,,,,,Culture And Arts,,8/11/22
218,,Actors,35-55,Male,Yes,Yes,No,Employed,Yes,Graduate,,,7/30/21
686,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,6/24/23
129,,Organization,,,,,,,,,Culture And Arts,,11/30/20
130,,Organization,,,,,,,,,Technology And Education,,8/19/22
285,,Actors,18-35,Male,No,No,No,Freelancer,Yes,Undergraduate,,,12/1/20
801,,Actors,18-35,Female,No,No,No,Freelancer,No,Undergraduate,,,6/25/22
133,,Organization,,,,,,,,,Environment And Sustainability,,11/1/20
134,,Organization,,,,,,,,,Lifestyle And Health,,7/17/20
513,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,5/26/21
52,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,7/31/20
1055,,Event,,,,,,,,,Technology And Education,,6/3/23
1056,,Event,,,,,,,,,Technology And Education,,9/10/23
1057,,Event,,,,,,,,,Environment And Sustainability,,11/28/23
798,,Actors,18-35,Female,No,No,No,Self-employed,No,Highschool,,,2/26/22
1058,,Event,,,,,,,,,Technology And Education,,11/23/23
323,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,9/1/20
10,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,11/28/23
583,,Actors,18-35,Female,No,No,No,Self-employed,No,Undergraduate,,,5/1/21
572,,Actors,18-35,Male,Yes,No,No,Employed,No,Graduate,,,9/19/20
142,,Organization,,,,,,,,,Community And Organization,,8/19/22
143,,Organization,,,,,,,,,Technology And Education,,12/1/20
1126,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,10/6/22
1129,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,5/20/23
488,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,1/15/21
1059,,Event,,,,,,,,,Technology And Education,,8/17/22
506,,Actors,35-55,Male,Yes,No,No,Employed,No,Undergraduate,,,9/20/22
1060,,Short-term Project,,,,,,,,,Technology And Education,,9/13/22
1061,,Short-term Project,,,,,,,,,Technology And Education,,9/25/23
1062,,Event,,,,,,,,,Technology And Education,,9/25/23
1063,,Event,,,,,,,,,Environment And Sustainability,,9/25/23
1064,,Event,,,,,,,,,Technology And Education,,9/25/23
1065,,Event,,,,,,,,,Technology And Education,,9/25/23
1066,,Event,,,,,,,,,Technology And Education,,9/25/23
1067,,Event,,,,,,,,,Culture And Arts,,9/25/23
1068,,Event,,,,,,,,,Environment And Sustainability,,9/25/23
1069,,Event,,,,,,,,,Culture And Arts,,9/25/23
1070,,Event,,,,,,,,,Lifestyle And Health,,9/28/23
148,,Organization,,,,,,,,,Lifestyle And Health,,5/1/20
149,,Organization,,,,,,,,,Technology And Education,,4/11/23
728,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,1/23/21
800,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,4/20/22
792,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,12/23/21
648,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,9/1/21
544,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,4/24/23
754,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,6/2/21
932,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,10/11/23
174,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,5/17/21
158,,Organization,,,,,,,,,Culture And Arts,,2/7/22
159,,Organization,,,,,,,,,Culture And Arts,,7/1/21
928,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,7/26/23
500,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,8/15/21
162,,Organization,,,,,,,,,Lifestyle And Health,,9/3/21
43,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,2/1/22
219,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,10/10/20
593,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,4/11/23
376,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,9/1/20
167,,Organization,,,,,,,,,Environment And Sustainability,,8/20/21
168,,Organization,,,,,,,,,Culture And Arts,,5/1/21
712,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,11/23/20
170,,Organization,,,,,,,,,Culture And Arts,,6/17/23
586,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,9/21/23
172,,Organization,,,,,,,,,Environment And Sustainability,,11/1/21
587,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,1/30/21
174,,Organization,,,,,,,,,Community And Organization,,5/17/21
551,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,9/25/23
432,,Actors,35-55,Female,Yes,No,No,Employed,No,Undergraduate,,,3/3/22
130,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,8/19/22
178,,Organization,,,,,,,,,Technology And Education,,7/1/23
1071,,Media Content,,,,,,,,,Culture And Arts,,2/1/23
179,,Organization,,,,,,,,,Community And Organization,,8/20/21
180,,Organization,,,,,,,,,Culture And Arts,,7/1/21
1072,,Event,,,,,,,,,Technology And Education,,9/19/23
181,,Organization,,,,,,,,,Lifestyle And Health,,10/1/20
182,,Organization,,,,,,,,,Environment And Sustainability,,9/4/21
183,,Organization,,,,,,,,,Culture And Arts,,10/15/21
1073,,Event,,,,,,,,,Culture And Arts,,6/8/23
542,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,5/1/21
389,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,12/11/22
187,,Organization,,,,,,,,,Technology And Education,,3/26/23
188,,Organization,,,,,,,,,Technology And Education,,11/23/23
1074,,Short-term Project,,,,,,,,,Community And Organization,,9/29/22
732,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,2/18/21
935,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,12/4/23
679,,Actors,35-55,Male,Yes,No,No,Self-employed,No,Undergraduate,,,10/1/20
392,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,7/30/21
384,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,8/1/21
614,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,7/2/23
195,,Organization,,,,,,,,,Community And Organization,,9/2/21
196,,Organization,,,,,,,,,Environment And Sustainability,,5/25/21
197,,Organization,,,,,,,,,Culture And Arts,,8/15/21
175,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,7/1/20
381,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,11/1/20
604,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,8/12/21
390,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,9/20/23
553,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,5/1/21
203,,Organization,,,,,,,,,Culture And Arts,,7/2/23
554,,Actors,35-55,Female,No,No,No,Self-employed,No,Graduate,,,9/1/20
852,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,7/1/21
220,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,3/2/21
566,,Actors,18-35,Female,No,No,No,Freelancer,No,Undergraduate,,,10/17/22
909,,Actors,35-55,Male,Yes,No,No,Freelancer,No,Undergraduate,,,12/27/22
269,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,8/17/20
176,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,3/1/22
615,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,8/15/21
221,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,12/1/21
1131,,Actors,35-55,Male,Yes,Yes,No,Employed,No,Graduate,,,11/19/20
718,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,8/11/20
1075,,Event,,,,,,,,,Technology And Education,,12/3/23
171,,Actors,35-55,Female,Yes,Yes,No,Employed,No,Undergraduate,,,1/3/21
890,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,5/22/22
217,,Organization,,,,,,,,,Environment And Sustainability,,9/26/21
218,,Organization,,,,,,,,,Community And Organization,,7/30/21
219,,Organization,,,,,,,,,Environment And Sustainability,,5/1/20
222,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,3/2/21
533,,Actors,35-55,Male,No,No,No,Freelancer,No,Graduate,,,8/1/21
264,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,11/5/22
223,,Organization,,,,,,,,,Technology And Education,,7/23/22
224,,Organization,,,,,,,,,Culture And Arts,,6/15/23
1076,,Event,,,,,,,,,Culture And Arts,,6/25/23
1059,,Actors,18-35,Female,No,No,No,Employed,No,Graduate,,,8/17/22
169,,Actors,35-55,Female,Yes,Yes,No,Self-employed,No,Graduate,,,8/14/20
1093,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,12/9/23
677,,Actors,18-35,Female,No,No,No,Self-employed,No,Graduate,,,7/4/21
702,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,9/26/20
749,,Actors,18-35,Male,Yes,No,No,Employed,No,Graduate,,,5/5/21
391,,Actors,18-35,Male,No,No,Yes,Self-employed,No,Graduate,,,6/13/21
213,,Actors,35-55,Female,Yes,No,No,Employed,No,Graduate,,,11/28/23
233,,Organization,,,,,,,,,Community And Organization,,4/22/21
234,,Organization,,,,,,,,,Community And Organization,,5/1/20
314,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,1/1/21
447,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,11/5/22
237,,Organization,,,,,,,,,Community And Organization,,7/30/21
331,,Actors,35-55,Female,Yes,Yes,No,Employed,No,Undergraduate,,,1/1/21
177,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,5/1/21
241,,Organization,,,,,,,,,Technology And Education,,6/10/23
242,,Organization,,,,,,,,,Community And Organization,,9/4/21
1077,,Event,,,,,,,,,Technology And Education,,6/23/23
491,,Actors,35-55,Male,No,No,No,Freelancer,No,Graduate,,,12/3/23
244,,Organization,,,,,,,,,Environment And Sustainability,,7/24/21
675,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,10/25/20
485,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,5/3/21
822,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,11/6/22
249,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,7/19/21
1078,,Event,,,,,,,,,Lifestyle And Health,,7/29/23
1079,,Short-term Project,,,,,,,,,Technology And Education,,5/19/23
249,,Organization,,,,,,,,,Environment And Sustainability,,7/19/21
250,,Organization,,,,,,,,,Technology And Education,,1/1/22
251,,Organization,,,,,,,,,Culture And Arts,,10/17/22
252,,Organization,,,,,,,,,Technology And Education,,12/16/20
253,,Organization,,,,,,,,,Technology And Education,,5/28/21
254,,Organization,,,,,,,,,Technology And Education,,9/15/20
407,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,7/4/21
256,,Organization,,,,,,,,,Technology And Education,,9/1/20
567,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,1/31/23
634,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,6/10/23
250,,Actors,35-55,Male,Yes,No,No,Employed,No,Graduate,,,1/1/22
731,,Actors,18-35,Female,No,No,No,Freelancer,No,Undergraduate,,,2/17/21
196,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,9/13/21
245,,Actors,35-55,Male,Yes,No,No,Employed,No,Undergraduate,,,9/1/20
503,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,7/1/21
881,,Actors,35-55,Female,Yes,No,No,Employed,No,Graduate,,,2/13/22
734,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,3/7/21
761,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,7/17/21
907,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,12/3/22
1057,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,11/28/23
269,,Organization,,,,,,,,,Technology And Education,,8/17/20
535,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,11/1/20
809,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,5/6/20
272,,Organization,,,,,,,,,Technology And Education,,6/25/21
273,,Organization,,,,,,,,,Environment And Sustainability,,12/8/20
274,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,3/1/21
275,,Organization,,,,,,,,,Environment And Sustainability,,9/15/20
276,,Organization,,,,,,,,,Community And Organization,,5/1/21
277,,Organization,,,,,,,,,Environment And Sustainability,,5/1/21
515,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,7/1/20
867,,Actors,35-55,Female,No,No,No,Self-employed,No,Graduate,,,10/13/21
843,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,5/13/21
393,,Actors,18-35,Male,No,No,No,Self-employed,No,Graduate,,,12/20/21
1080,,Event,,,,,,,,,Culture And Arts,,12/24/22
1081,,Media Content,,,,,,,,,Technology And Education,,10/9/22
282,,Organization,,,,,,,,,Environment And Sustainability,,5/1/20
493,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,6/1/22
1082,,Short-term Project,,,,,,,,,Community And Organization,,9/18/22
284,,Organization,,,,,,,,,Culture And Arts,,10/9/22
285,,Organization,,,,,,,,,Culture And Arts,,12/1/20
286,,Organization,,,,,,,,,Culture And Arts,,9/22/21
1083,,Event,,,,,,,,,Community And Organization,,9/22/21
622,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,1/3/22
288,,Organization,,,,,,,,,Environment And Sustainability,,5/23/20
591,,Actors,18-35,Female,No,No,No,Self-employed,No,Undergraduate,,,9/25/23
290,,Organization,,,,,,,,,Culture And Arts,,7/30/21
291,,Organization,,,,,,,,,Lifestyle And Health,,8/28/21
48,,Actors,35-55,Male,Yes,No,No,Employed,No,Graduate,,,1/15/22
296,,Actors,35-55,Female,No,No,No,Freelancer,No,Graduate,,,8/17/22
294,,Organization,,,,,,,,,Culture And Arts,,8/1/22
906,,Actors,18-35,Male,No,No,No,Self-employed,No,Undergraduate,,,11/27/22
905,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,11/24/22
528,,Actors,35-55,Female,No,No,No,Freelancer,No,Undergraduate,,,11/1/21
433,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,5/15/21
300,,Organization,,,,,,,,,Community And Organization,,7/1/20
301,,Organization,,,,,,,,,Technology And Education,,6/1/20
1084,,Event,,,,,,,,,Culture And Arts,,8/1/21
302,,Organization,,,,,,,,,Technology And Education,,9/6/21
303,,Organization,,,,,,,,,Culture And Arts,,5/1/20
304,,Organization,,,,,,,,,Technology And Education,,2/1/21
1085,,Event,,,,,,,,,Community And Organization,,7/29/23
1086,,Event,,,,,,,,,Culture And Arts,,9/1/20
835,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Graduate,,,12/23/20
866,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,10/1/21
307,,Organization,,,,,,,,,Community And Organization,,7/2/23
541,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,9/1/21
726,,Actors,18-35,Female,No,No,Yes,Self-employed,No,Graduate,,,1/17/21
178,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,7/1/23
311,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,3/1/21
720,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,12/18/20
772,,Actors,18-35,Male,Yes,No,No,Self-employed,No,Undergraduate,,,10/15/21
582,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,10/1/20
315,,Organization,,,,,,,,,Technology And Education,,5/1/20
316,,Organization,,,,,,,,,Environment And Sustainability,,8/24/21
317,,Organization,,,,,,,,,Lifestyle And Health,,7/1/23
1137,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,12/3/23
522,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,8/27/20
605,,Actors,35-55,Male,No,No,No,Employed,No,Undergraduate,,,10/10/20
490,,Actors,35-55,Female,Yes,No,No,Self-employed,No,Graduate,,,9/1/20
810,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,9/3/20
645,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,8/27/20
7,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,11/28/23
1087,,Event,,,,,,,,,Lifestyle And Health,,11/26/22
873,,Actors,18-35,Female,No,No,No,Employed,No,Undergraduate,,,12/3/21
195,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,1/17/22
1094,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,9/8/23
933,,Actors,35-55,Female,No,No,No,Freelancer,No,Undergraduate,,,10/12/23
642,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,6/1/20
440,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,10/1/21
456,,Actors,0-18,Female,No,No,Yes,Freelancer,No,Highschool,,,5/1/21
468,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,5/1/20
341,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,5/25/21
443,,Actors,18-35,Female,No,No,No,Self-employed,No,Graduate,,,9/1/20
847,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,5/16/21
418,,Actors,18-35,Female,No,No,Yes,Freelancer,Yes,Graduate,,,7/2/23
477,,Actors,18-35,Male,No,No,No,Employed,No,Undergraduate,,,3/1/22
1079,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,5/19/23
288,,Actors,18-35,Female,No,No,No,Freelancer,No,Graduate,,,5/1/22
791,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,12/16/21
236,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Graduate,,,1/1/21
343,,Organization,,,,,,,,,Technology And Education,,7/1/21
1088,,Event,,,,,,,,,Technology And Education,,3/5/23
632,,Actors,18-35,Female,No,No,No,Freelancer,No,Undergraduate,,,7/1/21
665,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,8/1/21
540,,Actors,35-55,Male,No,No,No,Self-employed,No,Graduate,,,9/1/20
179,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,9/6/21
348,,Organization,,,,,,,,,Lifestyle And Health,,11/1/20
757,,Actors,35-55,Male,No,No,No,Freelancer,No,Graduate,,,6/20/21
1089,,Event,,,,,,,,,Technology And Education,,8/5/23
350,,Organization,,,,,,,,,Environment And Sustainability,,10/11/22
351,,Organization,,,,,,,,,Environment And Sustainability,,9/1/20
737,,Actors,18-35,Male,Yes,No,No,Employed,No,Graduate,,,3/21/21
601,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,7/1/23
1090,,Event,,,,,,,,,Environment And Sustainability,,11/19/23
364,,Actors,18-35,Male,No,No,No,Freelancer,No,Graduate,,,9/1/21
968,,Actors,35-55,Male,Yes,Yes,No,Employed,No,Graduate,,,6/1/22
347,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,9/28/21
462,,Actors,35-55,Male,No,No,No,Freelancer,No,Undergraduate,,,3/1/22
358,,Organization,,,,,,,,,Community And Organization,,3/1/22
359,,Organization,,,,,,,,,Environment And Sustainability,,12/17/20
1025,,Actors,35-55,Female,Yes,Yes,No,Employed,No,Undergraduate,,,10/16/21
778,,Actors,35-55,Female,No,No,No,Employed,No,Undergraduate,,,10/28/21
1098,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,3/18/23
363,,Organization,,,,,,,,,Technology And Education,,9/25/23
742,,Actors,18-35,Male,No,No,Yes,Freelancer,Yes,Graduate,,,4/10/21
562,,Actors,35-55,Female,No,No,No,Employed,No,Graduate,,,1/28/21
246,,Actors,35-55,Female,Yes,No,No,Employed,No,Graduate,,,7/1/20
525,,Actors,35-55,Female,No,No,No,Self-employed,No,Undergraduate,,,5/1/21
965,,Actors,35-55,Female,No,No,No,Freelancer,No,Undergraduate,,,4/29/22
437,,Actors,18-35,Female,No,No,No,Self-employed,No,Graduate,,,10/1/21
859,,Actors,18-35,Female,No,No,No,Self-employed,No,Graduate,,,8/15/21
223,,Actors,18-35,Male,No,No,Yes,Freelancer,No,Undergraduate,,,7/23/22
35,,Actors,35-55,Female,Yes,No,No,Employed,No,Graduate,,,11/1/22
224,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Graduate,,,6/15/23
465,,Actors,18-35,Female,No,No,No,Freelancer,No,Graduate,,,5/1/20
416,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Graduate,,,8/1/21
1091,,Event,,,,,,,,,Environment And Sustainability,,5/9/23
1092,,Event,,,,,,,,,Environment And Sustainability,,10/24/22
201,,Actors,18-35,Female,No,No,Yes,Freelancer,Yes,Graduate,,,9/1/20
377,,Organization,,,,,,,,,Technology And Education,,5/1/20
838,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,3/1/21
242,,Actors,35-55,Male,No,No,No,Employed,No,Graduate,,,9/4/21
338,,Actors,18-35,Male,No,No,Yes,Freelancer,Yes,Undergraduate,,,7/1/20
681,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Undergraduate,,,8/19/22
756,,Actors,18-35,Male,No,No,No,Employed,No,Graduate,,,6/12/21
597,,Actors,35-55,Male,Yes,Yes,No,Employed,No,Graduate,,,4/24/23
385,,Organization,,,,,,,,,Lifestyle And Health,,5/3/21
547,,Actors,35-55,Male,Yes,Yes,No,Self-employed,No,Graduate,,,3/1/21
387,,Organization,,,,,,,,,Culture And Arts,,7/26/23
1093,,Event,,,,,,,,,Lifestyle And Health,,12/9/23
435,,Actors,18-35,Female,No,No,Yes,Freelancer,No,Graduate,,,5/1/21
787,,Actors,35-55,Female,No,No,No,Self-employed,Yes,Undergraduate,,,11/20/21
1094,,Media Content,,,,,,,,,Community And Organization,,9/8/23
1095,,Media Content,,,,,,,,,Environment And Sustainability,,12/14/22
1090,,Actors,18-35,Male,No,No,No,Freelancer,No,Undergraduate,,,11/19/23
1096,,Event,,,,,,,,,Culture And Arts,,10/13/22
1097,,Event,,,,,,,,,Environment And Sustainability,,12/31/22
558,,Actors,35-55,Male,No,No,No,Self-employed,No,Undergraduate,,,8/1/20
